Provider,PotentialFraud,Inpatient_BeneID_nunique,Inpatient_ClaimID_count,Inpatient_InscClaimAmtReimbursed_sum,Inpatient_InscClaimAmtReimbursed_mean,Inpatient_InscClaimAmtReimbursed_max,Inpatient_Total_Procedures_sum,Inpatient_Total_Procedures_mean,Inpatient_Total_Procedures_max,Inpatient_AttendingPhysician_nunique,Inpatient_OperatingPhysician_nunique,Outpatient_BeneID_nunique,Outpatient_ClaimID_count,Outpatient_InscClaimAmtReimbursed_sum,Outpatient_InscClaimAmtReimbursed_mean,Outpatient_InscClaimAmtReimbursed_max,Outpatient_Total_Procedures_sum,Outpatient_Total_Procedures_mean,Outpatient_Total_Procedures_max,Outpatient_AttendingPhysician_nunique,Outpatient_OperatingPhysician_nunique,Bene_Age,Bene_ChronicCond_Alzheimer,Bene_ChronicCond_Heartfailure,Bene_ChronicCond_Cancer,Bene_ChronicCond_Diabetes,Bene_ChronicCond_KidneyDisease,Bene_ChronicCond_ObstrPulmonary,Bene_ChronicCond_Depression,Bene_ChronicCond_IschemicHeart,Bene_ChronicCond_Osteoporasis,Bene_ChronicCond_rheumatoidarthritis,Bene_ChronicCond_stroke
PRV51015,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,700.0,87.5,200.0,0.0,0.0,0.0,3.0,1.0,87.85714285714286,1.4285714285714286,1.1428571428571428,1.5714285714285714,1.0,1.4285714285714286,1.4285714285714286,1.1428571428571428,1.1428571428571428,1.5714285714285714,1.7142857142857142,1.8571428571428572
PRV51016,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,170.0,28.333333333333332,90.0,0.0,0.0,0.0,3.0,1.0,86.5,1.6666666666666667,1.3333333333333333,1.5,1.1666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.1666666666666667,1.6666666666666667,1.5,1.8333333333333333
PRV51017,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,515.0,142720.0,277.126213592233,3300.0,2.0,0.003883495145631068,1.0,113.0,46.0,88.27142857142857,1.611904761904762,1.4333333333333333,1.888095238095238,1.338095238095238,1.6,1.6928571428571428,1.6071428571428572,1.2666666666666666,1.6642857142857144,1.7476190476190476,1.9023809523809523
PRV51021,Yes,23.0,29.0,269000.0,9275.862068965518,57000.0,22.0,0.7586206896551724,3.0,7.0,7.0,187.0,228.0,79830.0,350.13157894736844,3300.0,0.0,0.0,0.0,67.0,23.0,89.27403846153847,1.6442307692307692,1.4567307692307692,1.8028846153846154,1.2548076923076923,1.5673076923076923,1.6538461538461537,1.5528846153846154,1.2740384615384615,1.7355769230769231,1.6923076923076923,1.9038461538461537
PRV51023,No,9.0,9.0,54000.0,6000.0,13000.0,5.0,0.5555555555555556,1.0,4.0,4.0,27.0,27.0,11610.0,430.0,2200.0,0.0,0.0,0.0,10.0,5.0,88.34285714285714,1.542857142857143,1.4,1.8571428571428572,1.4,1.542857142857143,1.7142857142857142,1.5714285714285714,1.1714285714285715,1.7428571428571429,1.7714285714285714,1.8571428571428572
PRV51024,No,9.0,9.0,61000.0,6777.777777777777,13000.0,7.0,0.7777777777777778,1.0,1.0,1.0,29.0,30.0,3050.0,101.66666666666667,400.0,0.0,0.0,0.0,12.0,5.0,83.71052631578948,1.631578947368421,1.4473684210526316,1.868421052631579,1.236842105263158,1.394736842105263,1.6578947368421053,1.5789473684210527,1.236842105263158,1.7105263157894737,1.631578947368421,1.8421052631578947
PRV51025,No,12.0,13.0,86000.0,6615.384615384615,17000.0,12.0,0.9230769230769231,2.0,2.0,2.0,66.0,74.0,32350.0,437.1621621621622,3300.0,0.0,0.0,0.0,34.0,13.0,89.22368421052632,1.6842105263157894,1.4736842105263157,1.868421052631579,1.3026315789473684,1.5394736842105263,1.6973684210526316,1.5263157894736843,1.2894736842105263,1.644736842105263,1.7236842105263157,1.9210526315789473
PRV51026,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,76.0,19840.0,261.05263157894734,3300.0,0.0,0.0,0.0,29.0,10.0,85.0,1.5714285714285714,1.5535714285714286,1.8392857142857142,1.2857142857142858,1.6071428571428572,1.7857142857142858,1.5357142857142858,1.375,1.75,1.7321428571428572,1.9107142857142858
PRV51027,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,53.0,29840.0,563.0188679245283,3300.0,0.0,0.0,0.0,10.0,6.0,87.77272727272727,1.5681818181818181,1.3409090909090908,1.8636363636363635,1.25,1.5227272727272727,1.6818181818181819,1.5,1.1818181818181819,1.7954545454545454,1.7727272727272727,1.8636363636363635
PRV51029,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,93.0,30660.0,329.6774193548387,3300.0,0.0,0.0,0.0,38.0,10.0,86.92405063291139,1.6582278481012658,1.5316455696202531,1.8987341772151898,1.3544303797468353,1.6835443037974684,1.7215189873417722,1.6962025316455696,1.2911392405063291,1.7974683544303798,1.7088607594936709,1.8860759493670887
PRV51030,No,71.0,82.0,705600.0,8604.878048780487,57000.0,57.0,0.6951219512195121,3.0,1.0,1.0,78.0,89.0,34160.0,383.82022471910113,3300.0,0.0,0.0,0.0,45.0,11.0,87.32413793103449,1.5793103448275863,1.3655172413793104,1.813793103448276,1.2758620689655173,1.5379310344827586,1.6344827586206896,1.6,1.2,1.7310344827586206,1.6551724137931034,1.910344827586207
PRV51031,No,26.0,28.0,329000.0,11750.0,68000.0,25.0,0.8928571428571429,2.0,2.0,2.0,135.0,157.0,30720.0,195.6687898089172,2300.0,0.0,0.0,0.0,58.0,14.0,88.54140127388536,1.5286624203821657,1.3312101910828025,1.8789808917197452,1.3184713375796178,1.535031847133758,1.6305732484076434,1.5541401273885351,1.197452229299363,1.5732484076433122,1.713375796178344,1.9171974522292994
PRV51032,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,5420.0,235.65217391304347,2900.0,0.0,0.0,0.0,10.0,4.0,86.61904761904762,1.619047619047619,1.380952380952381,1.7619047619047619,1.2857142857142858,1.5714285714285714,1.619047619047619,1.5238095238095237,1.2380952380952381,1.8095238095238095,1.7619047619047619,1.8571428571428572
PRV51035,No,1.0,1.0,29000.0,29000.0,29000.0,1.0,1.0,1.0,1.0,1.0,24.0,29.0,3560.0,122.75862068965517,700.0,0.0,0.0,0.0,17.0,6.0,90.64,1.72,1.44,1.88,1.28,1.44,1.68,1.44,1.24,1.68,1.76,1.8
PRV51036,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,278.0,74880.0,269.3525179856115,4400.0,0.0,0.0,0.0,5.0,3.0,87.68702290076335,1.6946564885496183,1.4809160305343512,1.8702290076335877,1.366412213740458,1.618320610687023,1.7404580152671756,1.633587786259542,1.3206106870229009,1.6793893129770991,1.7938931297709924,1.9236641221374047
PRV51037,Yes,21.0,23.0,214000.0,9304.347826086956,23000.0,13.0,0.5652173913043478,3.0,1.0,1.0,202.0,431.0,128230.0,297.51740139211137,3300.0,0.0,0.0,0.0,2.0,2.0,87.49029126213593,1.645631067961165,1.441747572815534,1.8689320388349515,1.3786407766990292,1.6019417475728155,1.7427184466019416,1.6213592233009708,1.266990291262136,1.6650485436893203,1.7087378640776698,1.912621359223301
PRV51038,No,26.0,30.0,229600.0,7653.333333333333,17000.0,15.0,0.5,3.0,2.0,2.0,83.0,111.0,35890.0,323.3333333333333,3300.0,0.0,0.0,0.0,43.0,14.0,86.97196261682242,1.5233644859813085,1.4018691588785046,1.8317757009345794,1.2616822429906542,1.560747663551402,1.7102803738317758,1.588785046728972,1.2429906542056075,1.6635514018691588,1.6542056074766356,1.8878504672897196
PRV51040,No,8.0,9.0,63000.0,7000.0,21000.0,7.0,0.7777777777777778,2.0,4.0,3.0,62.0,77.0,11470.0,148.96103896103895,1600.0,0.0,0.0,0.0,13.0,6.0,87.07246376811594,1.6231884057971016,1.434782608695652,1.9130434782608696,1.3043478260869565,1.6521739130434783,1.7391304347826086,1.5507246376811594,1.2463768115942029,1.7826086956521738,1.7681159420289856,1.8985507246376812
PRV51041,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,34.0,7410.0,217.94117647058823,3200.0,0.0,0.0,0.0,9.0,4.0,85.96774193548387,1.4838709677419355,1.5161290322580645,1.7741935483870968,1.3548387096774193,1.7741935483870968,1.7419354838709677,1.5806451612903225,1.2903225806451613,1.7741935483870968,1.7419354838709677,1.935483870967742
PRV51042,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,142.0,48050.0,338.38028169014086,3300.0,0.0,0.0,0.0,52.0,27.0,89.015625,1.65625,1.484375,1.859375,1.3984375,1.6171875,1.734375,1.6015625,1.2578125,1.765625,1.7421875,1.9140625
PRV51043,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,4480.0,194.7826086956522,1100.0,0.0,0.0,0.0,6.0,2.0,88.8,1.65,1.35,1.85,1.2,1.65,1.65,1.65,1.3,1.55,1.75,2.0
PRV51044,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,59.0,21330.0,361.52542372881356,3300.0,0.0,0.0,0.0,1.0,1.0,85.82051282051282,1.6666666666666667,1.435897435897436,1.8974358974358974,1.4102564102564104,1.564102564102564,1.7179487179487178,1.6923076923076923,1.205128205128205,1.641025641025641,1.6153846153846154,1.9230769230769231
PRV51045,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,31.0,8390.0,270.64516129032256,3300.0,0.0,0.0,0.0,16.0,4.0,87.37931034482759,1.5172413793103448,1.4827586206896552,1.896551724137931,1.2758620689655173,1.5517241379310345,1.5517241379310345,1.6206896551724137,1.2758620689655173,1.793103448275862,1.8275862068965518,1.9310344827586208
PRV51046,No,7.0,8.0,101000.0,12625.0,38000.0,5.0,0.625,1.0,1.0,1.0,19.0,30.0,8370.0,279.0,2000.0,0.0,0.0,0.0,5.0,2.0,87.03846153846153,1.6538461538461537,1.5,1.7307692307692308,1.1923076923076923,1.6538461538461537,1.6923076923076923,1.5384615384615385,1.1153846153846154,1.7307692307692308,1.6538461538461537,1.8846153846153846
PRV51047,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2530.0,230.0,1300.0,0.0,0.0,0.0,10.0,1.0,86.54545454545455,1.7272727272727273,1.4545454545454546,2.0,1.3636363636363635,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.3636363636363635,1.7272727272727273,1.6363636363636365,1.9090909090909092
PRV51048,No,4.0,4.0,19000.0,4750.0,7000.0,3.0,0.75,1.0,4.0,3.0,30.0,34.0,8700.0,255.88235294117646,3300.0,0.0,0.0,0.0,11.0,4.0,87.24242424242425,1.4242424242424243,1.393939393939394,1.878787878787879,1.1515151515151516,1.606060606060606,1.6363636363636365,1.5151515151515151,1.1818181818181819,1.7878787878787878,1.5454545454545454,1.9696969696969697
PRV51049,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,71.0,21720.0,305.9154929577465,3300.0,0.0,0.0,0.0,35.0,11.0,86.04615384615384,1.5692307692307692,1.4,1.8461538461538463,1.3384615384615384,1.6307692307692307,1.5692307692307692,1.5692307692307692,1.4,1.676923076923077,1.6923076923076923,1.8923076923076922
PRV51052,Yes,2.0,2.0,14000.0,7000.0,9000.0,1.0,0.5,1.0,2.0,1.0,36.0,44.0,16800.0,381.8181818181818,3300.0,0.0,0.0,0.0,16.0,5.0,86.27027027027027,1.7027027027027026,1.3783783783783783,1.8918918918918919,1.4054054054054055,1.5945945945945945,1.7027027027027026,1.5945945945945945,1.2972972972972974,1.7027027027027026,1.7297297297297298,1.864864864864865
PRV51053,No,1.0,1.0,8000.0,8000.0,8000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
PRV51054,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,57.0,15130.0,265.43859649122805,1900.0,0.0,0.0,0.0,3.0,2.0,86.425,1.675,1.5,1.95,1.475,1.55,1.675,1.525,1.425,1.875,1.85,1.925
PRV51055,No,2.0,2.0,16700.0,8350.0,16000.0,2.0,1.0,1.0,1.0,1.0,20.0,20.0,4940.0,247.0,2300.0,0.0,0.0,0.0,5.0,2.0,84.72727272727273,1.5454545454545454,1.3181818181818181,1.8181818181818181,1.5,1.6363636363636365,1.6363636363636365,1.4090909090909092,1.2272727272727273,1.6818181818181819,1.6818181818181819,1.8636363636363635
PRV51056,No,2.0,2.0,8000.0,4000.0,5000.0,2.0,1.0,2.0,1.0,1.0,19.0,20.0,6700.0,335.0,2500.0,0.0,0.0,0.0,5.0,2.0,92.52380952380952,1.5714285714285714,1.4285714285714286,1.8095238095238095,1.0952380952380953,1.2857142857142858,1.7142857142857142,1.4761904761904763,1.1904761904761905,1.4761904761904763,1.7142857142857142,1.8095238095238095
PRV51057,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6830.0,1366.0,3300.0,0.0,0.0,0.0,1.0,1.0,94.25,2.0,1.25,1.75,1.75,1.75,1.75,2.0,1.0,2.0,1.75,2.0
PRV51058,No,5.0,5.0,91000.0,18200.0,57000.0,5.0,1.0,2.0,5.0,3.0,71.0,78.0,16030.0,205.51282051282053,2500.0,0.0,0.0,0.0,29.0,8.0,89.14666666666666,1.6133333333333333,1.4666666666666666,1.88,1.28,1.6,1.7066666666666668,1.5333333333333334,1.2133333333333334,1.6533333333333333,1.68,1.8933333333333333
PRV51059,Yes,23.0,25.0,401000.0,16040.0,57000.0,24.0,0.96,3.0,12.0,11.0,60.0,71.0,20060.0,282.53521126760563,3300.0,0.0,0.0,0.0,21.0,8.0,89.4390243902439,1.6829268292682926,1.3780487804878048,1.8902439024390243,1.3780487804878048,1.6219512195121952,1.7439024390243902,1.6097560975609757,1.329268292682927,1.7073170731707317,1.7195121951219512,1.9146341463414633
PRV51060,No,5.0,5.0,35000.0,7000.0,14000.0,0.0,0.0,0.0,5.0,0.0,37.0,37.0,8710.0,235.40540540540542,1020.0,0.0,0.0,0.0,24.0,5.0,87.47619047619048,1.619047619047619,1.4047619047619047,1.8571428571428572,1.2142857142857142,1.5476190476190477,1.619047619047619,1.5238095238095237,1.2857142857142858,1.8095238095238095,1.6904761904761905,1.9047619047619047
PRV51061,No,1.0,1.0,3000.0,3000.0,3000.0,2.0,2.0,2.0,1.0,1.0,66.0,144.0,51940.0,360.69444444444446,6700.0,0.0,0.0,0.0,6.0,3.0,90.31343283582089,1.7014925373134329,1.537313432835821,1.8805970149253732,1.2985074626865671,1.5820895522388059,1.7313432835820894,1.6119402985074627,1.2985074626865671,1.7164179104477613,1.7014925373134329,1.8955223880597014
PRV51062,No,3.0,3.0,45000.0,15000.0,25000.0,5.0,1.6666666666666667,2.0,3.0,3.0,164.0,394.0,108380.0,275.0761421319797,3300.0,0.0,0.0,0.0,3.0,3.0,87.74698795180723,1.6626506024096386,1.4518072289156627,1.855421686746988,1.3072289156626506,1.6024096385542168,1.7710843373493976,1.6385542168674698,1.3313253012048192,1.6746987951807228,1.7891566265060241,1.9156626506024097
PRV51063,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,149.0,51110.0,343.02013422818794,3300.0,0.0,0.0,0.0,3.0,3.0,85.13913043478261,1.5826086956521739,1.373913043478261,1.8434782608695652,1.3130434782608695,1.5826086956521739,1.7217391304347827,1.5739130434782609,1.2347826086956522,1.7478260869565216,1.6956521739130435,1.9043478260869566
PRV51064,Yes,34.0,36.0,280000.0,7777.777777777777,37000.0,26.0,0.7222222222222222,3.0,28.0,17.0,198.0,267.0,80320.0,300.8239700374532,3300.0,0.0,0.0,0.0,97.0,32.0,88.68722466960352,1.6431718061674008,1.3920704845814977,1.8854625550660793,1.2863436123348018,1.5726872246696035,1.6607929515418502,1.550660792951542,1.2158590308370043,1.6784140969162995,1.7092511013215859,1.8766519823788546
PRV51065,No,10.0,10.0,75000.0,7500.0,11000.0,9.0,0.9,2.0,3.0,1.0,16.0,18.0,1570.0,87.22222222222223,300.0,0.0,0.0,0.0,7.0,3.0,91.57692307692308,1.5769230769230769,1.3076923076923077,1.9615384615384615,1.2692307692307692,1.6538461538461537,1.6538461538461537,1.4230769230769231,1.1923076923076923,1.7692307692307692,1.8076923076923077,1.7692307692307692
PRV51066,No,2.0,2.0,19000.0,9500.0,15000.0,2.0,1.0,1.0,2.0,2.0,19.0,22.0,5790.0,263.1818181818182,2200.0,0.0,0.0,0.0,6.0,5.0,84.52380952380952,1.5238095238095237,1.4285714285714286,1.9047619047619047,1.4761904761904763,1.7142857142857142,1.7619047619047619,1.7619047619047619,1.2857142857142858,1.7142857142857142,1.7142857142857142,1.9047619047619047
PRV51067,Yes,11.0,12.0,326000.0,27166.666666666668,83000.0,13.0,1.0833333333333333,3.0,6.0,4.0,39.0,46.0,8520.0,185.2173913043478,2100.0,0.0,0.0,0.0,19.0,4.0,83.83673469387755,1.7346938775510203,1.3877551020408163,1.836734693877551,1.346938775510204,1.5714285714285714,1.7755102040816326,1.469387755102041,1.2857142857142858,1.6734693877551021,1.7346938775510203,1.9591836734693877
PRV51068,No,9.0,9.0,77000.0,8555.555555555555,19000.0,3.0,0.3333333333333333,1.0,8.0,3.0,206.0,252.0,66260.0,262.93650793650795,3300.0,0.0,0.0,0.0,74.0,32.0,85.94392523364486,1.6355140186915889,1.4485981308411215,1.855140186915888,1.308411214953271,1.6214953271028036,1.733644859813084,1.602803738317757,1.308411214953271,1.7149532710280373,1.7242990654205608,1.8925233644859814
PRV51070,No,10.0,10.0,101000.0,10100.0,22000.0,6.0,0.6,3.0,10.0,4.0,61.0,89.0,24410.0,274.2696629213483,3300.0,0.0,0.0,0.0,36.0,12.0,86.69565217391305,1.6231884057971016,1.4927536231884058,1.8840579710144927,1.2753623188405796,1.6231884057971016,1.7391304347826086,1.6231884057971016,1.289855072463768,1.7246376811594204,1.7826086956521738,1.8695652173913044
PRV51071,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,8550.0,356.25,3200.0,0.0,0.0,0.0,11.0,2.0,84.41666666666667,1.5,1.4166666666666667,1.9166666666666667,1.25,1.6666666666666667,1.625,1.4166666666666667,1.125,1.5833333333333333,1.7916666666666667,1.8333333333333333
PRV51072,No,12.0,12.0,72000.0,6000.0,14000.0,6.0,0.5,1.0,10.0,7.0,150.0,200.0,47170.0,235.85,3200.0,0.0,0.0,0.0,42.0,17.0,86.8875,1.64375,1.45,1.89375,1.25625,1.5625,1.675,1.64375,1.225,1.63125,1.6875,1.925
PRV51074,No,5.0,5.0,31000.0,6200.0,15000.0,1.0,0.2,1.0,4.0,1.0,34.0,34.0,10170.0,299.11764705882354,2500.0,0.0,0.0,0.0,11.0,4.0,88.8974358974359,1.6153846153846154,1.4102564102564104,1.8461538461538463,1.2820512820512822,1.5384615384615385,1.6666666666666667,1.5384615384615385,1.1282051282051282,1.641025641025641,1.7435897435897436,1.9743589743589745
PRV51075,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,8550.0,502.94117647058823,3000.0,0.0,0.0,0.0,4.0,2.0,90.92307692307692,1.7692307692307692,1.5384615384615385,1.7692307692307692,1.2307692307692308,1.6923076923076923,1.6923076923076923,1.5384615384615385,1.0769230769230769,1.7692307692307692,1.3846153846153846,1.9230769230769231
PRV51076,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,10230.0,352.7586206896552,3300.0,0.0,0.0,0.0,8.0,3.0,91.66666666666667,1.5185185185185186,1.4074074074074074,1.7407407407407407,1.2222222222222223,1.5925925925925926,1.8148148148148149,1.5925925925925926,1.1111111111111112,1.6666666666666667,1.5925925925925926,1.8518518518518519
PRV51077,Yes,13.0,16.0,199000.0,12437.5,56000.0,8.0,0.5,2.0,1.0,1.0,17.0,17.0,5350.0,314.70588235294116,2600.0,0.0,0.0,0.0,10.0,1.0,87.23333333333333,1.5666666666666667,1.3,1.8333333333333333,1.1666666666666667,1.4333333333333333,1.7,1.4,1.1333333333333333,1.5,1.6333333333333333,1.8666666666666667
PRV51078,No,9.0,9.0,76000.0,8444.444444444445,16000.0,8.0,0.8888888888888888,2.0,3.0,3.0,14.0,14.0,2270.0,162.14285714285714,800.0,0.0,0.0,0.0,10.0,2.0,86.6086956521739,1.6956521739130435,1.391304347826087,1.8695652173913044,1.3043478260869565,1.6956521739130435,1.6521739130434783,1.565217391304348,1.3043478260869565,1.6956521739130435,1.7826086956521738,1.826086956521739
PRV51081,No,6.0,6.0,79000.0,13166.666666666666,48000.0,9.0,1.5,4.0,1.0,2.0,125.0,194.0,45080.0,232.37113402061857,3300.0,0.0,0.0,0.0,2.0,1.0,86.81679389312977,1.5114503816793894,1.3969465648854962,1.9083969465648856,1.3435114503816794,1.5572519083969465,1.702290076335878,1.5725190839694656,1.2213740458015268,1.717557251908397,1.7099236641221374,1.8778625954198473
PRV51082,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,34.0,5470.0,160.88235294117646,1000.0,0.0,0.0,0.0,9.0,3.0,88.25806451612904,1.6129032258064515,1.5161290322580645,1.935483870967742,1.1612903225806452,1.6129032258064515,1.8064516129032258,1.6774193548387097,1.3225806451612903,1.7419354838709677,1.7741935483870968,1.903225806451613
PRV51083,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,90.0,18100.0,201.11111111111111,3300.0,0.0,0.0,0.0,18.0,8.0,90.23456790123457,1.6049382716049383,1.4074074074074074,1.8518518518518519,1.2962962962962963,1.5308641975308641,1.691358024691358,1.5061728395061729,1.1975308641975309,1.691358024691358,1.7160493827160495,1.9012345679012346
PRV51084,Yes,19.0,20.0,191000.0,9550.0,45000.0,14.0,0.7,2.0,14.0,9.0,67.0,90.0,24580.0,273.1111111111111,3300.0,0.0,0.0,0.0,25.0,6.0,88.14117647058823,1.5529411764705883,1.411764705882353,1.8941176470588235,1.2352941176470589,1.588235294117647,1.7411764705882353,1.6352941176470588,1.2823529411764707,1.6823529411764706,1.6705882352941177,1.8588235294117648
